binomial,PCA,Segment classification,Colour discriminability
Lichenostomus ornatus,-0.44,-0.64,-0.46
Lichenostomus penicillatus,0.02,-0.36,-0.26
Lichenostomus virescens,-0.48,-0.67,-0.54
Limnodromus griseus,-0.58,-0.81,-0.66
Limnodromus scolopaceus,-0.77,-0.73,-0.57
Limnothlypis swansonii,-0.58,-0.72,-0.63
Limosa fedoa,-0.07,-0.61,-0.62
Limosa haemastica,-0.69,-0.71,-0.56
Limosa lapponica,-0.16,-0.34,-0.14
Loboparadisea sericea,-,1.16,-
Lonchura caniceps,-0.31,-0.46,-0.31
Lonchura castaneothorax,-0.53,-0.66,-0.48
Lonchura spectabilis,-0.86,-0.56,-0.43
Lonchura striata,-0.82,-0.8,-0.65
Lonchura tristissima,-0.85,-0.63,-0.49
Lophura leucomelana,1.4,1.51,2.14
Loxia curvirostra,0.34,0,0.3
Loxia leucoptera,-0.25,0.52,0.55
Luscinia svecica,-0.29,0.66,0.32
Malurus alboscapulatus,-0.54,3.15,1.13
Malurus amabilis,2.05,2.11,1.33
Malurus coronotus,0.68,0.95,0.83
Malurus cyaneus,5.42,4.48,4.3
Malurus elegans,3.21,2.14,1.79
Malurus l.assimilis,3.05,2.95,2.58
Malurus lamberti,3.81,1.49,2.65
Malurus leucopterus,3.15,6.1,4.78
Malurus melanocephalus,2.7,2.66,2.84
Malurus pulcherrimus,1.3,3.59,2.64
Malurus s.melanotus,6.05,4.62,4.58
Malurus splendens,7.18,4.07,3.85
Manacus manacus,5.74,2.3,1.91
Mandingoa ntitdula,-0.42,-0.46,-0.11
Manorina flavigula,-0.35,-0.74,-0.54
Manorina melanocephala,-0.66,-0.58,-0.56
Manucodia atra,-0.44,2.03,0.63
Manucodia chalybata,-0.12,1,0.9
Manucodia jobiensis,-,0.61,-
Manucodia keraudrenii,-0.2,-0.13,-0.02
Margarornis squamiger,-0.5,-0.61,-0.53
Megalurus gramineus,-0.64,-0.49,-0.38
Megalurus timoriensis,-0.64,-0.66,-0.54
Megapodius reinwardt,-0.97,-0.59,-0.55
Melanerpes aurifrons,0.14,0.24,-0.12
Melanerpes carolinus,-0.06,0.87,0.88
Melanerpes erythrocephalus,-0.21,1.53,0.51
Melanerpes formicivorus,-0.24,-0.16,-0.01
Melanitta fusca,-0.55,0.28,0.13
Melanocharis longicauda,-0.61,0.28,0.69
Melanocharis nigra,0.86,1.04,1.3
Melanocharis striativentris,-0.79,-0.71,-0.61
Melanocharis versteri,1.03,1.12,2.74
Melanodryas cucullata,0.05,0.88,0.03
Melanodryas vittata,-0.81,-0.71,-0.67
Meleagris gallopavo,1.17,0.33,0.35
Melidectes belfordi,-0.82,-0.7,-0.66
Melidectes ochromelas,-0.95,-0.67,-0.51
Melidectes torquatus,-0.59,-0.58,-0.66
Melilestes megarhynchus,-0.78,-0.68,-0.54
Meliphaga analoga,-0.79,-0.83,-0.66
Meliphaga gracilis,-0.45,-0.76,-0.61
Meliphaga leucotis,-0.78,-0.6,-0.57
Meliphaga lewinii,-0.75,-0.7,-0.69
Meliphaga montana,-0.52,-0.65,-0.39
Meliphaga notata,-0.65,-0.73,-0.64
Melipotes fumigatus,-0.53,-0.51,-0.7
Melithreptus albogularis,-0.55,-0.2,-0.24
Melithreptus brevirostris,-0.73,-0.73,-0.6
Melithreptus lunatus,-0.51,-0.61,-0.66
Melopsittacus undulatus,-0.23,-0.47,0.52
Melospiza georgiana,-0.41,-0.18,-0.03
Melospiza lincolnii,-0.59,-0.67,-0.6
Melospiza melodia,-0.42,-0.55,-0.5
Melozone kieneri,-0.62,-0.76,-0.56
Menura novaehollandiae,-0.38,-0.61,-0.56
Mergus merganser,3.31,0.95,0.44
Mergus serrator,1.16,0.26,-0.01
Merops apiaster,-0.26,-0.62,-0.24
Merops ornatus,-0.04,-0.43,-0.09
Microcerculus marginatus,-0.38,-0.62,-0.5
Microeca fascinans,-0.11,-0.54,-0.63
Microeca flavigaster,-0.05,-0.49,-0.36
Microeca flavoviriscens,-0.67,-0.65,-0.5
Microeca papuana,-0.74,-0.64,-0.13
Miliaria calandra,-0.79,-0.8,-0.72
Milvus migrans,-0.55,-0.66,-0.64
Mimus polyglottos,-0.15,-0.57,-0.7
Mino dumontii,-0.62,0,-0.59
Mionectes mcconnelli,-0.79,-0.4,0.11
Mionectes rufiventris,-0.74,-0.78,-0.51
Mniotilta varia,0.46,0,-0.42
Molothrus ater,0.75,0.62,0.96
Molothrus bonairensis,0.59,3.79,2.83
Monarcha axillaris,-0.41,1.65,0.31
Monarcha chrysomella,1.46,1.56,3.57
Monarcha frater,-0.45,1.4,-
Monarcha guttula,-0.56,0.33,-0.54
Monarcha leucotis,-0.32,-0.41,-0.55
Monarcha manadensis,0.14,3.2,0.51
Monarcha melanopsis,-0.75,-0.28,-0.71
Monarcha trivirgatus,-0.83,1.06,-
Motacilla alba,-0.07,-0.42,-0.46
Motacilla flava,-0.26,0.25,1.24
Myiagra alecto,3.51,2.93,2.69
Myiagra inquieta,-0.51,-0.41,-0.53
Myiagra rubecula,0.51,0.78,0.8
Myiarchus antillarum,-0.81,-0.89,-0.71
Myiarchus cinerascens,-0.18,-0.67,-0.73
Myiarchus crinitus,-0.47,-0.56,-0.63
Myiarchus nugator,-0.49,-0.69,-0.64
Myiarchus sagrae,-0.58,-0.77,-0.71
Myiarchus tuberculifer,-0.42,-0.73,-0.72
Myiarchus tyrannulus,-0.25,-0.44,-0.52
Myiobius barbatus,0.56,0.11,1.15
Myioborus miniatus,-0.32,0.1,-0.04
Myiodynastes maculatus,0.5,-0.34,-0.39
Myiopagis gaimardii,0.94,-0.04,-0.27
Myiopagis viridicata,0.31,-0.15,0.47
Myzomela erythrocephala,0.37,1.56,0.53
Myzomela obscura,-0.56,-0.67,-0.64
Myzomela rosenbergii,0.14,1.27,1.89
Myzomela sanguinolenta,1.17,3.41,2.21
Nectarina jugularis,0.46,0.37,0.03
Nectarina osea,0.88,1.39,2.96
Neochima modesta,-0.69,-0.63,-0.46
Neochmia phaeton,0.44,0.49,0.51
Neochmia ruficauda,-0.22,0.15,-0.24
Neochmia temporalis,-0.59,-0.52,-0.33
Ninox boobook,-0.36,-0.51,-0.4
Notharcus macrorhynchus,-0.68,-0.3,-0.63
Nothoprocta cinerascens,-0.38,-0.71,-0.6
Notiochelidon cyanoleuca,-0.28,0.55,0.08
Numenius phaeopus,0.09,-0.65,-0.7
Numida meleagris,-0.43,-0.65,-0.71
Nyctibeus griseus,-0.46,-0.77,-0.74
Nycticorax nycticorax,-0.24,-0.27,-0.5
Oceanodroma leucorhoa,-0.82,-0.78,-0.67
Oceanodroma melania,-0.75,-0.49,-0.29
Oenanthe oenanthe,0.25,0.01,0.33
Onychorhynchus coronatus,-0.21,-0.51,0.17
Oporornis formosus,-0.45,-0.58,-0.29
Oporornis philadelphia,0.33,-0.18,0.1
Oporornis tolmiei,-0.15,-0.23,0.1
Oreoica gutturalis,-0.13,-0.59,-0.56
Oreospar bolivianus,-0.87,0.05,-0.21
Oriolus flavocinctus,-0.35,-0.43,-0.14
Oriolus sagittatus,-0.09,-0.48,-0.41
Oriolus szalayi,-0.06,-0.57,-0.52
Ortalis motmot,-0.88,-0.71,-0.55
Ortalis vetula,-0.82,-0.69,-0.55
Orthonyx spaldingii,0.48,0.55,0.99
Orthonyx temminckii,0.29,0.18,0.66
Oxyura australis,0.92,0.58,0.22
Oxyura maccoa,1.28,0.54,0.07
Pachycephala inornata,-0.14,0.02,0.05
Pachycephala monarcha,0.21,-0.46,-0.64
Pachycephala olivacea,-0.32,-0.03,0.2
Pachycephala pectoralis,0.64,0.61,1.37
Pachycephala rufinucha,-0.69,-0.54,-0.33
Pachycephala rufiventris,0.56,0.08,0.03
Pachycephala rufogularis,-0.24,0,0.27
Pachycephala schlegii,2.11,0.98,1.65
Pachycephala simplex,-0.51,-0.55,-0.35
Pachycephala soror,0.16,0.46,1.13
Pandion haliaetus,-0.39,-0.65,-0.79
Panurus biarmicus,0.84,0.72,0.35
Paradisaea guilielmi,-,1.46,-
Paradisaea minor,3.86,2.02,4.31
Paradisaea raggiana,1.12,0.81,2.43
Paradisaea rudolphi,0.5,1.71,-
Pardalotus rubricautus,-0.05,-0.05,0.2
Pardalotus striatus,-0.56,-0.53,-0.37
Pardalotus xanthopygus,0.05,0.81,1.43
Paroaria coronata,-0.64,-0.46,-0.31
Parotia lawesii,1.84,4.65,-
Parotia wahensi,2.98,3.23,-
Parula americana,-0.34,-0.24,-0.33
Parus ater,-0.81,-0.09,-0.58
Parus atricapillus,-0.46,-0.17,-0.41
Parus bicolor,-0.38,-0.61,-0.55
Parus caeruleus,-0.13,0.97,0.05
Parus carolinensis,-0.27,-0.62,-0.67
Parus gambeli,-0.68,-0.66,-0.63
Parus hudsonicus,-0.68,-0.45,-0.51
Parus inornatus,-0.52,-0.79,-0.73
Parus major,-0.53,1,-0.19
Parus montanus,-0.57,-0.26,-0.44
Parus sclateri,-0.88,-0.33,-0.54
Parus wollweberi,-0.7,-0.58,-0.53
Passer domesticus,0.68,0.2,0.4
Passer hispaniolensis,0.44,0.2,0.31
Passer montanus,-0.81,-0.66,-0.63
Passerculus sandwichensis,-0.05,-0.61,-0.57
Passerella iliaca,-0.11,-0.49,-0.47
Passerina caerulea,2.74,4.8,3.53
Passerina ciris,1.89,2.52,3.14
Passerina cyanea,1.94,2.56,3.14
Passerina versicolor,0.86,2.67,2.1
Pelagodroma marina,-0.25,-0.37,-0.46
Pelecanoides urinator,-0.53,-0.51,-0.72
Peltops blainvilli,-0.8,0.29,-0.52
Peltops montanus,-0.55,-0.41,-0.61
Penelopina nigra,0.2,1.73,2.58
Peneothello cyaneus,-0.82,0.71,-0.46
Peneothello sigillatus,-0.7,0.85,0.02
Perdicula asiatica,-0.66,-0.44,-0.14
Petroica goodenovii,3.04,2.39,3.4
Petroica multicolor,0.46,0.56,0.6
Petroica rodinogaster,0.02,2.32,0.82
Petroica rosea,-0.25,0.54,0.24
Pezopetes capitalis,-0.89,-0.66,-0.48
Phaethornis superciliosus,-0.62,0.2,0.23
Phalacrocorax melanoleucos,-0.53,-0.71,-0.64
Phalacrocorax sulcirostris,-0.91,-0.54,-0.72
Phalaropus fulicarius,-0.62,0.06,0.06
Phalaropus lobatus,-0.36,-0.18,-0.21
Phalaropus tricolor,0.33,-0.09,-0.06
Phaps chalcoptera,0.19,0.17,0.6
Pharomachrus auriceps,-0.4,0.21,0.84
Phasianus colchicus,1.99,1.45,1.52
Pheucticus ludovicianus,1.11,1.75,1.96
Pheucticus melanocephalus,1.15,0.78,1.27
Philemon argenticeps,0.28,-0.52,-0.63
Philemon buceroides,-0.32,-0.72,-0.73
Philemon citreogularis,-0.14,-0.56,-0.55
Philemon corniculatus,-0.11,-0.44,-0.57
Philemon meyeri,-0.58,-0.73,-0.62
Philomachus pugnax,-0.47,-0.45,-0.36
Phoenicurus phoenicurus,1.42,0.96,1.2
Phylidonyris melanops,0.65,-0.24,-0.44
Phylidonyris novaehollandiae,-0.25,-0.52,-0.54
Phylidonyris pyrrhoptera,0.28,0.45,0.73
Phyllastrephus cinereiceps,-0.59,-0.79,-0.69
Phylloscopus collybita,-0.3,-0.68,-0.57
Phylloscopus sibilatrix,-0.4,-0.71,-0.55
Phylloscopus trochilus,-0.36,-0.57,-0.28
Pica pica,-0.52,-0.6,-0.47
Picoides arcticus,0.56,0.36,1.1
Picoides pubescens,0.51,0.53,0.67
Picoides scalaris,0.21,0.6,0.96
Picoides villosus,-0.01,0.49,-
Pipilo chlorurus,0.01,-0.58,-0.39
Pipilo crissalis,-0.65,-0.69,-0.57
Pipilo erythrophthalmus,-0.12,0.84,1.21
Pipilo fuscus,-0.45,-0.53,-0.47
Pipilo maculatus,-0.48,-0.02,0.06
Pipilo ocai,-0.42,-0.78,-0.64
Pipra coronata,1.67,1.7,2.49
Pipra erythrocephala,2.39,1.29,2.91
Pipra filicauda,1.25,1.5,2.52
Pipra mentalis,1.94,1.99,2.67
Piranga bidentata,-0.02,0.53,1.11
Piranga erythracephala,-,0.47,-
Piranga flava,-0.15,0.81,2.57
Piranga ludoviciana,1,0.84,1.47
Piranga olivacea,2.21,2.86,3.49
Piranga rubra,-0.05,1.6,2.69
Pitohui ferrugineus,-0.7,-0.75,-0.58
Pitohui nigrescens,0.21,1.59,2.22
Platycercus elegans,-0.5,-0.26,-0.49
Plectorhyncha lanceolata,-0.49,-0.71,-0.63
Plectrophenax nivalis,0.92,0.05,-0.2
Plectropterus gambensis,0.64,0.48,0
Ploceus alienus,-0.58,0.12,0.42
Ploceus baglafecht,-0.68,-0.49,-0.22
Ploceus cucullatus,2.01,1.19,2.8
Ploceus nelicourvi,-0.21,0.23,1.45
Ploceus nigerrimus,1.06,0.85,1.52
Ploceus philippinus,-0.21,-0.61,-0.47
Pluvialis apricaria,-0.68,-0.58,-0.34
Pluvialis dominica,-0.29,-0.61,-0.43
Pluvialis squatarola,0.12,-0.35,-0.38
Podargus strigoides,-0.24,-0.48,-0.6
Podiceps nigricollis,-0.49,-0.36,-0.46
Podilymbus podiceps,-0.18,-0.42,-0.58
Poecilodryas hypoleuca,-0.26,-0.41,-0.49
Poecilodryas superciliosa,0.2,-0.44,-0.68
Poephila cincta,-0.48,-0.55,-0.55
Polioptila caerulea,-0.09,-0.1,-0.49
Pomatostomus halli,-0.69,-0.8,-0.74
Pomatostomus ruficeps,-0.48,-0.59,-0.48
Pomatostomus superciliosus,-0.33,-0.63,-0.46
Pomatostomus temporalis,-0.42,-0.72,-0.62
Pooecetes gramineus,-0.6,-0.61,-0.58
Porphyrio porphyrio,-0.81,-0.47,-0.58
Progne chalybea,-0.18,0.91,0.17
Progne subis,0.69,2.41,2.16
Progne tapera,-0.55,-0.62,-0.56
Protonotaria citrea,0.67,0.54,1.66
Prunella modularis,-0.33,-0.52,-0.4
Psarocolius decumanus,-0.96,-0.51,-0.65
Psarocolius montezuma,-0.82,-0.72,-0.58
Psarocolius wagleri,-0.96,-0.34,-0.49
Psephotus haematonotus,-0.24,1.23,1.46
Psilorhinus morio,-0.47,-0.68,-0.63
Psophodes cristatus,-0.85,-0.77,-0.72
Psophodes olivaceus,-0.62,-0.43,-0.53
Ptilinopus magnificus,-0.88,-0.58,-0.49
Ptilinopus regina,0.21,0.33,0.42
Ptilinopus superbus,2.45,3.04,1.4
Ptilonorhynchus violaceus,1.69,5.38,3.5
Ptiloprora guisei,-0.42,-0.53,-0.5
Ptiloris magnificus,2.05,2.17,3.72
Ptiorrhoa caerulescens,-,0.41,-
Puffinus tenuirostris,-0.7,-0.59,-0.55
Pycnonotus barbatus,-0.71,-0.65,-0.62
Pycnonotus latirostris,-0.48,-0.51,-0.49
Pycnoptilus floccossus,-0.93,-0.73,-0.64
Pycnopygius cinereus,-0.64,-0.67,-0.64
Pygoscelis adeliae,-,0.6,-
Pyrocephalus rubinus,0.67,2.58,2.45
Pyrrholaemus brunneus,-0.31,-0.08,-0.04
Quiscalus major,0.95,2.07,2.19
Quiscalus mexicanus,0.97,1.55,2.12
Quiscalus quiscula,-0.57,0.54,0.34
Rallus elegans,-0.53,-0.65,-0.64
Rallus limicola,-0.4,-0.56,-0.42
Ramphocaenus melanurus,-0.91,-0.85,-0.81
Ramphocelus passerini,1.23,1.61,2.19
Regulus calendula,0.19,-0.11,0.59
Regulus satrapa,-0.01,-0.16,0.16
Rhipidura albolimbata,-0.32,-0.35,-0.48
Rhipidura atra,0.49,2.77,2.95
Rhipidura brachyryncha,-0.7,-0.78,-0.67
Rhipidura fuliginosa,-0.33,-0.59,-0.53
Rhipidura hyperythra,-0.43,-0.24,-0.13
Rhipidura leucophrys,-0.86,-0.2,-0.27
Rhipidura leucothorax,-0.37,-0.26,-0.36
Rhipidura rufidorsa,-,-0.62,-
Rhipidura rufuventris,-0.25,-0.7,-0.78
Rhipidura threnothorax,-0.63,-0.25,-0.3
Riparia riparia,-0.23,-0.45,-0.57
Rissa tridactyla,-0.37,-0.72,-0.66
Rostratula benghalensis,-0.05,-0.21,-0.11
Rupicola peruviana,1.49,1.12,2.12
Saltator maximus,-0.77,-0.67,-0.55
Sappho sparganura,-0.15,0.09,0.98
Saxicola caprata,0.02,1.47,1.49
Saxicola torquata,0.1,0.75,1.34
Sayornis nigricans,-0.79,-0.62,-0.66
Sayornis saya,-0.54,-0.76,-0.66
Schoeniophylax phryganophila,-0.71,-0.57,-0.52
Scolopax minor,-0.6,-0.73,-0.68
Seiurus aurocapillus,0.25,-0.56,-0.7
Seiurus noveboracensis,-0.67,-0.77,-0.69
Sericornis beccarii,-0.01,-0.31,-0.11
Sericornis citreogularis,-0.45,-0.75,-0.63
Sericornis frontalis,-0.71,-0.53,-0.44
Sericornis magnirostris,-0.41,-0.64,-0.54
Sericornis nouhouysi,-0.53,-0.53,-0.34
Sericornis papuensis,-0.48,-0.5,-0.42
Sericornis perspicallatus,-0.52,-0.56,-0.45
Sericornis spilodera,-0.69,-0.7,-0.6
Sericulus chrysocepalus,1.47,1.46,2.44
Serinus canaria,0.1,0.31,0.34
Setophaga ruticilla,0.72,0.46,0.46
Sialia currucoides,1.64,2.77,2.51
Sialia mexicana,1.11,3.77,1.63
Sialia sialis,1.69,2.9,1.47
Sicalis flaveola,0.22,1.01,1.89
Sitta canadensis,-0.19,-0.17,-0.61
Sitta carolinensis,0.69,0.02,-0.29
Sitta pusilla,-0.04,-0.36,-0.43
Sitta pygmaea,-0.52,-0.34,-0.25
Smicrornis brevirostris,-0.15,-0.67,-0.59
Somateria mollissima,6.36,2,1.37
Specotheres viridis,1.09,0.64,1.25
Sphyrapicus varius,-0.4,0.39,2.13
Spiza americana,1.11,0.04,0.04
Spizella arborea,-0.64,-0.69,-0.66
Spizella atrogularis,-0.62,-0.61,-0.59
Spizella breweri,-0.53,-0.66,-0.53
Spizella pallida,-0.18,-0.64,-0.45
Spizella passerina,-0.4,-0.65,-0.58
Spizella pusilla,-0.07,-0.56,-0.41
Stagonopleura bellum,-0.25,-0.29,-0.32
Stagonopleura guttata,-0.02,-0.63,-0.65
Stagonopleura oculata,-0.84,-0.46,-0.55
Stercorarius longicaudus,-0.64,-0.73,-0.65
Stercorarius parasiticus,-0.46,-0.81,-0.8
Stercorarius pomarinus,-0.58,-0.81,-0.77
Sterna forsteri,0.31,-0.59,-0.81
Sterna hirundo,-0.15,-0.62,-0.71
Sterna paradisaea,0.22,-0.55,-0.75
Stiltia isabella,-0.31,-0.57,-0.36
Streptopelia chinensis,-0.46,-0.35,-0.29
Streptopelia decaocto,-0.3,-0.61,-0.53
Streptopelia senegalensis,-0.53,-0.7,-0.64
Strix aluco,-0.39,-0.62,-0.47
Strix nebulosa,-0.6,-0.72,-0.66
Strix vigrata,-0.38,-0.65,-0.65
Struthidea cinerea,-0.7,-0.4,-0.48
Struthio camelus,0.84,0.65,-0.01
Sturnella magna,-0.48,-0.49,-0.29
Sturnella militaris,-0.03,1.01,1.46
Sturnella neglecta,-0.58,-0.57,-0.39
Sturnus roseus,-0.3,0.33,-0.35
Sturnus vulgaris,0.68,1.02,0.4
Surnia ulula,-0.56,-0.75,-0.72
Sylvia atricapilla,0.04,-0.05,0.21
Sylvia communis,-0.61,-0.64,-0.45
Synthliboramphus antiquus,-0.66,-0.73,-0.69
Tachybaptus novaehollandiae,-0.45,-0.14,-0.58
Tachycineta bicolor,0.21,-0.38,-0.49
Taeniopygia guttata,-0.21,-0.29,-0.26
Tangara chilensis,0.05,-0.42,-0.48
Tanysiptera sylvia,0.02,0.13,0.38
Tersina viridis,3.25,1.28,3.36
Tetrao urogallus,1.18,0.95,1.29
Thamnophilus punctatus,-0.09,1.09,1.92
Thinocorus oribignyianus,-0.04,-0.2,0.01
Thraupis bonairensis,1.85,3.2,3.02
Thraupis cyanocephala,-0.57,-0.66,-0.65
Thraupis episcopus,0.4,0.03,-0.45
Thraupis sayaca,0.53,-0.25,-0.44
Thryothorus ludovicianus,-0.53,-0.64,-0.63
Tiaris olivacea,0.28,-0.17,0.17
Timeliopsis fulvigula,-0.64,-0.59,-0.26
Tinamus major,-0.19,-0.39,-0.29
Toxostoma curvirostre,-0.73,-0.4,-0.43
Toxostoma rufum,-0.07,-0.48,-0.55
Toxyrhamphus novaeguineae,-0.82,-0.85,-0.67
Toxyrhamphus poliopterus,-0.52,-0.63,-0.34
Tregellasia leucops,-0.44,-0.44,-0.09
Trichastoma pyrrhopterum,-0.65,-0.55,-0.45
Trichoglossus chlorolepidotus,-0.68,-0.55,-0.17
Trichoglossus haematodus,-0.28,-0.6,-0.45
Tringa flavipes,-0.53,-0.83,-0.77
Tringa glareola,0.01,-0.48,-0.45
Tringa macularia,-0.14,-0.63,-0.69
Tringa melanoleuca,-0.21,-0.63,-0.63
Tringa solitaria,-0.56,-0.63,-0.5
Troglodytes aedon,-0.49,-0.76,-0.7
Troglodytes troglodytes,-0.86,-0.76,-0.49
Trogon melanurus,-0.04,1.32,1.43
Tryngites subruficollis,-0.56,-0.67,-0.48
Turdus grayi,-0.75,-0.8,-0.51
Turdus merula,0.72,0.51,0.8
Turdus migratorius,-0.3,-0.4,-0.23
Turdus philomelos,-0.42,-0.7,-0.53
Turdus pilaris,-0.37,-0.58,-0.39
Turnix pyrrhothorax,0.12,-0.3,0.04
Turnix suscitator,-0.62,-0.6,-0.54
Turnix sylvatica,-0.72,-0.67,-0.5
Turnix velox,0.47,-0.22,-0.09
Tympanuchus cupido,0.04,-0.43,-0.12
Tympanuchus phasianellus,0.12,-0.4,-0.21
Tyrannus caudifasciatus,-0.31,-0.57,-0.4
Tyrannus crassirostris,-0.45,-0.73,-0.69
Tyrannus dominicensis,-0.13,-0.61,-0.66
Tyrannus forficata,-0.47,-0.49,-0.72
Tyrannus melancholicus,-0.21,-0.33,0.61
Tyrannus savana,-0.18,-0.56,-0.53
Tyrannus tyrannus,0.15,-0.38,0.37
Tyrannus vociferans,-0.38,-0.6,-0.29
Tyto alba,1.03,-0.07,-0.01
Uria aalge,-0.64,-0.84,-0.73
Uria lomvia,-0.7,-0.8,-0.82
Uropsalis segmentata,-0.85,-0.55,-0.52
Vanga curvirostris,-0.11,0,-0.68
Vermivora celata,-0.57,-0.36,0.07
Vermivora chrysoptera,1.3,0.37,0.51
Vermivora gutteralis,-0.05,-0.34,-0.63
Vermivora luciae,-0.62,-0.67,-0.42
Vermivora peregrina,0.3,-0.53,-0.7
Vermivora ruficapilla,-0.62,-0.55,-0.03
Vermivora superciliosa,-0.45,-0.61,-0.49
Vermivora virginiae,-0.32,-0.24,0.11
Vidua paradisaea,1.58,1.08,2.45
Vireo altiloquus,1.51,0.06,-0.1
Vireo atricapillus,0.61,-0.2,-0.03
Vireo bellii,-0.45,-0.75,-0.76
Vireo carmioli,-0.3,-0.67,-0.6
Vireo flavifrons,0.06,-0.52,-0.55
Vireo gilvus,-0.56,-0.79,-0.75
Vireo griseus,-0.56,-0.68,-0.51
Vireo huttoni,-0.19,-0.65,-0.67
Vireo latimeri,-0.47,-0.73,-0.61
Vireo olivaceus,-0.79,-0.87,-0.71
Vireo pallens,-0.02,-0.34,-0.2
Vireo philadelphicus,-0.73,-0.64,-0.71
Vireo solitarius,-0.17,-0.53,-0.55
Vireo vicinior,-,-0.22,-
Wilsonia citrina,0.33,0.18,1.27
Wilsonia pusilla,-0.52,-0.31,0.52
Xanthocephalus xanthocephalus,0.94,1.49,1.79
Xanthotis flaviventer,-0.74,-0.87,-0.74
Xanthotis macleayana,-0.12,-0.48,-0.3
Xanthotis polygramma,0.04,,
Zenaida asiatica,-0.56,-0.73,-0.64
Zenaida aurita,-0.23,-0.17,-0.44
Zenaida macroura,-0.73,-0.55,-0.34
Zonotrichia albicollis,-0.67,-0.03,-0.72
Zonotrichia atricapilla,-0.34,-0.54,-0.29
Zonotrichia capensis,-0.2,-0.3,-0.34
Zonotrichia leucophrys,-0.57,-0.7,-0.72
Zonotrichia querula,-0.76,-0.56,-0.61
Zoothera dauma,0.12,-0.45,-0.51
Zosterops lateralis,-0.34,-0.45,-0.12
Zosterops maderaspatanus,-0.31,-0.63,-0.55
Zosterops minor,-0.4,-0.52,-0.06
Zosterops novaeguineae,-0.57,-0.69,-0.55